Chan 0, Chan 1, 
-1.037556,-1.28332,
-1.191892,-1.188918,
-1.14675,-1.286974,
-1.15529,-1.193181,
-1.235203,-1.285147,
-1.180911,-1.304028,
-1.032066,-1.170647,
-1.15407,-1.263831,
-1.119299,-1.304028,
-1.066837,-1.159075,
-1.180911,-1.339352,
-1.15712,-1.235815,
-1.049756,-1.22607,
-1.186401,-1.15603,
-1.224223,-1.28941,
-1.202262,-1.184655,
-1.121739,-1.221197,
-1.335247,-1.318036,
-1.15895,-1.065891,
-1.259604,-1.218152,
-1.314506,-1.375895,
-1.14797,-1.166383,
-1.238863,-1.256522,
-1.122959,-1.154203,
-1.210802,-1.247995,
-1.127839,-1.218152,
-1.196772,-1.113397,
-1.223003,-1.227288,
-1.065617,-1.116442,
-1.219342,-1.287583,
-0.990584,-1.112178,
-1.040606,-1.114615,
-0.896031,-0.899622,
-0.565399,-0.619461,
-0.385443,-0.436748,
-0.238428,-0.118217,
-0.229887,0.033435,
-0.217077,0.065714,
-0.107883,0.288016,
-0.102393,0.337957,
-0.045051,0.3745,
0.031812,0.446367,
-0.002959,0.454285,
0.044622,0.457939,
-0.0298,0.481692,
0.008631,0.525543,
0.035472,0.437841,
0.070243,0.375109,
-0.0359,0.503617,
0.133076,0.460984,
0.078784,0.525543,
0.099524,0.410434,
0.131856,0.425051,
0.083054,0.471338,
0.114775,0.48291,
0.090374,0.433577,
0.059873,0.440277,
0.128195,0.471338,
0.086104,0.435404,
0.100744,0.426269,
0.095254,0.442104,
0.063533,0.486564,
0.083054,0.486564,
0.132466,0.541378,
0.100744,0.483519,
0.070853,0.456112,
0.081224,0.417742,
0.113555,0.450021,
0.080614,0.518234,
0.084884,0.503617,
0.160527,0.526761,
0.077564,0.52737,
0.021442,0.524325,
0.064143,0.459157,
0.082444,0.420178,
0.079394,0.397644,
0.141006,0.484737,
0.101354,0.520062,
0.122095,0.558431,
0.133076,0.479865,
0.042792,0.559649,
0.098304,0.498745,
0.157476,0.54686,
0.123315,0.531024,
0.058653,0.454894,
0.075734,0.497527,
0.090374,0.487782,
0.044012,0.551123,
0.118435,0.490218,
0.056823,0.465248,
0.060483,0.435404,
0.113555,0.465248,
0.072683,0.502399,
0.054993,0.464029,
0.141616,0.543814,
-0.02187,0.484737,
0.072073,0.510317,
0.088544,0.449412,
0.088544,0.509708,
0.100134,0.526152,
0.048283,0.498136,
0.153816,0.483519,
0.041572,0.513362,
0.137346,0.565131,
0.102574,0.467075,
0.109285,0.43845,
0.157476,0.504835,
0.094644,0.554777,
0.133076,0.45733,
0.112945,0.437841,
0.115385,0.537115,
0.084274,0.481083,
0.094644,0.559649,
0.135516,0.448803,
0.072073,0.460984,
0.095864,0.453676,
0.058653,0.513362,
0.063533,0.454894,
0.070853,0.504835,
0.125755,0.53407,
0.146496,0.477428,
0.142836,0.538942,
0.109895,0.475601,
0.101964,0.500572,
0.126975,0.471947,
0.097694,0.477428,
0.104405,0.482301,
0.130025,0.545032,
0.202008,0.504226,
0.108675,0.562695,
0.121485,0.507272,
0.087934,0.45124,
0.106845,0.464638,
0.100134,0.467075,
0.121485,0.523716,
0.089154,0.526152,
0.086714,0.44454,
0.133076,0.493264,
0.114165,0.531024,
0.147716,0.541987,
0.132466,0.472556,
0.134906,0.493873,
0.140396,0.437231,
0.148326,0.395816,
0.141006,0.47621,
0.093424,0.476819,
0.115995,0.451849,
0.126365,0.456721,
0.126975,0.520671,
0.123925,0.467075,
0.112945,0.492655,
0.146496,0.517016,
0.023272,0.489,
0.159917,0.521889,
0.091594,0.534679,
0.106845,0.448194,
0.134906,0.51458,
0.092814,0.525543,
0.038522,0.516407,
0.064753,0.531024,
0.111115,0.492655,
0.139786,0.534679,
0.106845,0.499963,
0.166627,0.43845,
0.090374,0.487173,
0.058653,0.570003,
0.062313,0.46342,
0.112335,0.449412,
